Turbo Assembler	 Version 3.0	    11/01/20 11:08:18	    Page 1
l4t3.ASM



      1	0000			     .model small
      2	0000			     .stack 100
      3	0000			     .data
      4
      5	0000			     .code
    122	0073  90				     NOP
    123	0074  90				     NOP
    124	0075  90				     NOP
    125	0076  90				     NOP
    126	0077  90				     NOP
    127	0078  90				     NOP
    128	0079  90				     NOP
    129	007A  90				     NOP
    130	007B  90				     NOP
    131	007C  90				     NOP
    132	007D  90				     NOP
    133	007E  90				     NOP
    134	007F  90				     NOP
    135	0080  90				     NOP      ;	IP = IP	+ 1
    136	0081  90				     NOP
    137	0082  90				     NOP
    138	0083  90				     NOP
    139	0084  90				     NOP
    140	0085  90				     NOP
    141	0086  90				     NOP
    142	0087  90				     NOP
    143	0088  90				     NOP
    144	0089  90				     NOP
    145	008A  90				     NOP
    146	008B  90				     NOP
    147	008C  90				     NOP
    148	008D  90				     NOP
    149	008E  90				     NOP
    150	008F  90				     NOP
    151	0090  90				     NOP
    152	0091  90				     NOP
    153	0092  90				     NOP
    154	0093  90				     NOP
    155	0094  90				     NOP
    156	0095  90				     NOP
    157	0096  90				     NOP
    158	0097  90				     NOP
    159	0098  90				     NOP
    160	0099  90				     NOP
    161	009A  90				     NOP
    162	009B  90				     NOP
    163	009C  90				     NOP
    164	009D  90				     NOP
    165	009E  90				     NOP
    166	009F  90				     NOP
    167	00A0  90				     NOP
    168	00A1  90				     NOP
    169	00A2  90				     NOP
    170	00A3  90				     NOP
    171	00A4  90				     NOP
Turbo Assembler	 Version 3.0	    11/01/20 11:08:18	    Page 4
l4t3.ASM



    172	00A5  90				     NOP
    173	00A6  90				     NOP
    174	00A7  90				     NOP
    175	00A8  90				     NOP
    176	00A9  90				     NOP
    177	00AA  90				     NOP
    178	00AB  90				     NOP
    179	00AC  90				     NOP
    180	00AD  90				     NOP
    181	00AE  90				     NOP
    182	00AF  90				     NOP
    183	00B0  90				     NOP
    184	00B1  90				     NOP
    185	00B2  90				     NOP
    186	00B3  90				     NOP
    187	00B4  90				     NOP
    188	00B5  90				     NOP
    189	00B6  90				     NOP
    190	00B7  90				     NOP
    191	00B8  90				     NOP
    192	00B9  90				     NOP
    193	00BA  90				     NOP
    194	00BB  90				     NOP
    195	00BC  90				     NOP
    196	00BD  90				     NOP
    197	00BE  90				     NOP
    198	00BF  90				     NOP
    199	00C0  90				     NOP
    200	00C1  90				     NOP
    201	00C2  90				     NOP
    202	00C3  90				     NOP
    203	00C4  90				     NOP
    204	00C5  90				     NOP
    205	00C6  90				     NOP
    206	00C7  90				     NOP
    207	00C8  90				     NOP
    208	00C9  90				     NOP
    209	00CA  90				     NOP
    210	00CB  90				     NOP
    211	00CC  90				     NOP
    212	00CD  90				     NOP
    213	00CE  90				     NOP
    214	00CF  90				     NOP
    215	00D0  90				     NOP
    216	00D1  90				     NOP
    217	00D2  90				     NOP
    218	00D3  90				     NOP
    219	00D4  90				     NOP
    220	00D5  90				     NOP
    221	00D6  90				     NOP
    222	00D7  90				     NOP
    223	00D8  90				     NOP
    224	00D9  90				     NOP
    225	00DA  90				     NOP
    226	00DB  90				     NOP
    227	00DC  90				     NOP
    228	00DD  90				     NOP
Turbo Assembler	 Version 3.0	    11/01/20 11:08:18	    Page 5
l4t3.ASM



    229	00DE  90				     NOP
    230	00DF  90				     NOP
    231	00E0  90				     NOP
    232	00E1  90				     NOP
    233	00E2  90				     NOP
    234	00E3  90				     NOP
    235	00E4  90				     NOP
    236	00E5  90				     NOP
    237	00E6  90				     NOP
    238	00E7  90				     NOP
    239	00E8  90				     NOP
    240	00E9  90				     NOP
    241	00EA  90				     NOP
    242	00EB  90				     NOP
    243	00EC  90				     NOP
    244	00ED  90				     NOP
    245	00EE  90				     NOP
    246	00EF  90				     NOP
    247	00F0  90				     NOP
    248	00F1  90				     NOP
    249	00F2  90				     NOP
    250	00F3  90				     NOP
    251	00F4  90				     NOP
    252	00F5  90				     NOP
    253	00F6  90				     NOP
    254	00F7  90				     NOP
    255	00F8  90				     NOP
    256	00F9  90				     NOP
    257	00FA  90				     NOP
    258	00FB  B0 03				     mov al, 3 ; IP = IP + 2
    259	00FD  3C 03				     cmp al, 3 ; IP = IP + 2
    260	00FF  75 03				     jne continua
    261	0101  E9 FF01				     jmp NOP_segment
    262	0104				     continua:
    263					     ; iesire din program
    264	0104				     sfarsit:
    265	0104  B4 4C				     mov ah, 4ch     ; functia DOS de iesire in	sistemul de operare
    266	0106  CD 21				     int 21h
    267				     end
Turbo Assembler	 Version 3.0	    11/01/20 11:08:18	    Page 6
Symbol Table




Symbol Name			  Type	 Value

??DATE				  Text	 "11/01/20"
??FILENAME			  Text	 "l4t3	  "
??TIME				  Text	 "11:08:18"
??VERSION			  Number 0300
@32BIT				  Text	 0
@CODE				  Text	 _TEXT
@CODESIZE			  Text	 0
@CPU				  Text	 0101H
@CURSEG				  Text	 _TEXT
@DATA				  Text	 DGROUP
@DATASIZE			  Text	 0
@FILENAME			  Text	 L4T3
@INTERFACE			  Text	 00H
@MODEL				  Text	 2
@STACK				  Text	 DGROUP
@WORDSIZE			  Text	 2
CONTINUA			  Near	 _TEXT:0104
INITIALIZARE			  Near	 _TEXT:0000
NOP_SEGMENT			  Near	 _TEXT:0005
SFARSIT				  Near	 _TEXT:0104
START				  Near	 _TEXT:0005

Groups & Segments		  Bit Size Align  Combine Class

DGROUP				  Group
  STACK				  16  0064 Para	  Stack	  STACK
  _DATA				  16  0000 Word	  Public  DATA
_TEXT				  16  0108 Word	  Public  CODE

